,ARID1B,CCL21,CCND2,CD3E,CDC20,CDK6,CDKN2A,CDKN2C,CHEK1,CKS2,COL1A1,ESR1,EZH2,FBLIM1,FGFR4,GAS1,IFNGR1,IGF2,KDR,KIF20A,KRT14,MDM4,MMP9,MUTYH,MYBL1,PGK1,PGR,PIM1,SPOP,TAGLN,TMEM30B,USF1,LINC02593,CCN1,ACTB,CASC3,GUSB,MRPL19,POP4,TTC21B,KIAA1715
18-08,32.21633899,0,31.154762,1.717128,1.822411,9.574744,32.4429721,48.83635,2.96088415,15.5104,1085.686916,3.586689,3.784507,12.96744815,0.0546498,77.7069,269.454167,5869.04467,3.56229,1.73578,36.7786,8.884248193,0.490084,10.22384832,1.712517,45.85136,7.036352,4.91001,65.242678,762.65643,228.879,65.763694,NA,114.29629,1896.378915,52.135729,60.589494,38.509137,44.1041458,7.104621003,21.817722
18-13,26.8335716,0.236293,95.203614,3.065001,1.3439,8.67969,8.818927,72.75217,3.3262125,19.4116,1559.533948,2.790555,2.8520136,14.361672,0.666355,82.8943,167.13537,771.96832,1.72619,3.096920888,0.631354,12.61236969,0.0692731,7.331331176,1.83944,35.102704,2.2418584,21.002656,60.170278,1419.83847,39.4035,46.20605,NA,160.2,1309.534563,38.162028,94.638312,34.636107,70.316076,7.9560951,15.091702
18-14,32.3079331,0,13.5153,1.2364545,0.3706821,7.4167,29.674262,33.483328,1.22295805,2.02292,226.62413,1.0662543,2.323403324,20.028128,0.26671667,233.764,285.501883,326.432034,43.18622,0.2232662,0.0913683,11.774586,1.69502,19.8833681,1.06766,75.829172,27.946824,1.050141,63.464422,310.59525,282.93496,36.481853,NA,57.3612,2126.478148,47.30985,41.408969,40.6016,60.396881,6.537147,26.260152
18-15,33.0396809,0.211837,4.29988,1.6170231,1.0346095,2.255672,5.753983,20.15983,2.087485,7.89447,277.526849,0.77662975,5.44014611,19.417029,1.5501385,110.343,263.009197,1012.355437,17.5284,0.9735252,0.324039,12.060019,1.07971,20.30314947,1.52166,79.39949,18.3111326,2.374904,54.734105,432.740348,249.91001,37.4550178,NA,64.5766,2293.896176,50.884641,39.540458,35.378062,66.877618,7.145876,25.269208
18-17,32.56670981,0,21.252164,0.958734,0.955891,1.441153,4.3505268,10.45605,5.452184,13.1412,610.93207,0.1597027,5.33618215,19.085692,0.0897097,194.763,375.482053,968.102529,39.4051,1.26439,2.814613,11.4866412,27.0059,11.0961344,3.49339,55.53388,18.1486537,4.610515,72.864538,664.44149,354.27572,34.581782,NA,328.08033,1927.222659,46.894046,58.258259,37.845669,47.053127,7.981132,20.26294
18-18,20.65472101,0.246205,7.19968,4.1588401,0.361836,5.670831,11.633979,5.2694834,2.712781568,13.1768,597.688568,0.507914,3.4268494,32.302811,1.6295121,207.812,486.23916,399.870397,4.047069,0.4974788,1.635465,12.64468,3.3281,7.304524,0.854224826,82.28372,7.5183521,43.844193,49.1528749,586.18975,312.55489,30.800265,NA,168.36415,2043.765244,33.990245,40.333117,27.486412,32.192907,5.458846,21.165873
18-20,34.9626312,0,85.074644,1.2332,1.40057,1.421759006,1.303146,33.38755,3.738626102,11.0329,668.437636,0.8180094,4.923189,18.87131937,0.7678273,29.3714,394.53685,2248.38697,10.9108,1.33946,0.371964,17.28738582,2.53549,16.02661139,3.32343,64.67941,28.5273194,2.12383,63.066706,226.362435,322.539201,35.75444,NA,100.9341,1668.547677,49.266132,54.489163,50.0158,52.567219,7.817768,26.418012
18-24,17.8089507,0,64.197136,1.909729,0.684827,15.902689,13.89892,53.02864,6.270888,16.6093,292.155962,0.7001418,8.083206,12.294284,2.9120475,607.154,95.986454,375.956099,6.99096,1.470771,0.18792,27.01819102,1.5168,6.037636007,2.564956,78.810126,25.347313,13.321178,85.096916,296.36402,201.3476,56.934581,NA,33.325106,996.6729507,60.561008,50.381604,52.427375,70.706711,14.299262,36.017663
18-26,29.1336025,0.083667,68.037338,2.444851,0.539522,3.953535,2.19851,7.945099,2.269924502,2.36078,163.4445202,0.6561347,4.9434728,22.9907659,2.037543,54.3347,154.46294,578.271913,1.52897,0.774597,0.0372549,18.06016228,11.9223,17.8621222,1.189775,57.07569,42.9946765,1.682415,65.909632,161.009057,337.59378,33.380399,NA,78.65625,1270.493955,50.855093,39.481552,48.709999,64.775221,8.718408,30.5654
18-28,22.42089665,0.0714518,38.828965,1.02938,1.340957,10.257817,1.7396558,26.56623,2.5875011,3.75149,68.542492,0.4962519,2.287206,24.47621192,1.0105281,232.403,105.224397,1079.24519,3.15887,0.845277,0.106249,8.229665577,3.60531,11.640087,0.707473,52.328422,25.9697564,4.80567,63.4653643,1545.281771,167.119513,33.89577,NA,51.1201,1807.170403,40.504179,34.897983,30.726216,58.572002,5.898307,16.81357
18-29,25.0200783,0.100651,2.80668,1.316141,1.78892,1.9236929,9.538521675,10.9812,2.095131,6.29076,360.594158,1.7601809,4.9731378,21.80357788,1.1722527,42.9187,258.073088,669.228647,1.7764,1.14919,2.398427,11.89677732,0.0300891,13.74648101,1.766415,66.70528,50.4802239,1.985009,63.818469,249.846688,508.696552,36.39232,NA,40.8066,1856.347691,52.671349,49.003034,43.100349,69.35813,6.177734,26.60781
18-30,27.42573573,0.267361,53.270419,1.22892,1.140548,1.778811,3.074541,21.0032,2.668244595,5.15106,389.345514,0.7455512,4.019204,22.765736,1.679108,42.8889,179.08637,47.2520069,4.794074,1.85896,0.317573,12.827445,4.62195,17.4992546,1.409099,64.77619,37.9886619,5.192463,82.517277,192.313492,220.161242,40.234869,NA,249.2412,1299.002389,41.787385,54.914798,32.397215,72.994652,8.025609,18.714883
18-33,30.817294,0.109386,141.38616,7.544273376,1.730517,21.059256,11.767095,10.2675437,5.876158,10.3453,725.234584,3.590133002,4.424696,12.035416,0.78766,289.542,216.80546,2146.649812,2.17119,2.19767,1.40641,37.901422,0.451177,12.770801,2.49189,75.546146,2.349075,3.668053,57.753597,1163.212019,89.24883581,77.336697,NA,213.8597,1669.717108,60.227646,46.594742,41.787753,45.799656,13.431059,21.314836
18-34,32.933905,0.224036,114.013299,1.27977,1.15484,11.18976,38.0349993,42.46055,3.243822401,9.60401,1593.08471,1.392072,2.1707869,16.093636,1.1088627,185.231,107.718119,10953.74998,6.6276,0.73571664,0.1981317,24.64910615,0.0664954,4.98295246,0.666275,73.31038,12.3253471,7.946399,89.524881,1116.39044,37.3534,57.383559,NA,77.27269,1034.486041,73.856437,44.445344,49.636165,54.9550829,8.512548,25.549995
18-35,29.509019,0.0816116,53.695449,0.699821,1.1909,1.178739,11.818776,18.83591,4.275049,8.33296,207.953454,1.617009276,3.3424178,26.961221,0.651447,58.4517,258.0671,658.192239,3.9594,1.7072779,35.7922,15.219429,0.484951,17.4306007,2.100995,74.48759,16.9784114,7.727276,67.976721,670.10464,410.188397,51.00833,NA,60.26476,1782.016217,66.834296,51.519277,46.409015,65.615422,8.062952,18.827228
18-38,31.99457066,0.110205,85.644098,4.687013,11.308012,14.412227,24.47992365,94.20481,3.0694341,31.5777,712.174471,1.5325894,9.13472,18.446391,0.442264,73.0981,224.31876,168.610626,5.32525,14.405205,0.1450416,19.103266,0.53407,15.21145305,2.784251,61.7254,3.9742557,6.479883,89.518325,156.275156,187.169,49.216146,NA,176.9417,1851.750535,55.39424,52.300215,39.835397,67.358555,10.145968,29.80639
18-39,32.34508498,0.784232,57.692685,1.807455,0.747989,6.427661,2.2295135,22.69485,3.657341,5.58197,307.110127,0.824972,4.005265,30.439388,2.340087,571.297,309.941096,1333.459784,36.590485,0.631707,0.480085,14.05914182,20.0638,14.52252139,1.49104,63.348655,50.010835,2.40203,61.662891,881.37848,247.782,36.185515,NA,76.24079,1503.059407,54.009873,46.672618,36.483542,52.116819,7.0185876,30.942405
18-40,34.41118165,0.220566,7.213622,1.258693,2.485992,7.611084,8.779375,21.612368,5.7237376,12.3801,1070.698218,1.4942534,8.495985,25.36913519,0.624909,78.1963,219.815051,365.023359,2.51151,1.905616,1.5438064,36.87037639,0.233753,22.33704232,2.243603,65.029429,9.1169025,3.95427,84.437055,177.504289,257.632,59.28408,NA,110.6977,1292.357833,61.929275,49.536908,33.868473,59.545629,13.587254,28.376406
18-41,29.5038038,0.792133,88.213681,3.009060008,0.775861,12.720227,4.718625,100.25453,2.337702107,6.13527,512.752256,1.078401,2.3527552,12.965686,0.93834732,122.23,237.888247,633.215584,4.71916,1.08726,0.403026,14.2614082,0.299201,13.33866626,1.525624,69.50148,3.947426,4.14697,72.749748,1356.81762,68.138044,44.69116,NA,782.6414,1828.358829,46.701518,59.4699637,40.426523,50.298486,8.987856,22.087568
18-42,22.1369336,0,95.408471,3.5493285,1.58442,11.177814,17.435507,90.8867,2.961724461,13.6335,423.773429,0.65448065,4.09884,6.84749301,1.965119109,234.194,233.99179,12275.765,16.376,2.992986,1.773198,13.96362585,0.204021,13.5627151,2.064186,85.35953,11.9467504,11.668259,65.761538,352.47246,47.772,44.870949,NA,127.2203,1537.481298,58.82052,49.299758,37.366288,44.557798,7.359925,15.965402
18-43,29.5188627,0.304851,78.359913,3.840915,8.2661,6.431454,11.23891,94.81003,9.321658,76.4889,817.990532,5.148448,21.3947554,11.9359322,5.586432,245.708,179.14627,14732.51317,1.72805,16.555228,25.129328,17.23545602,32.1147,8.719849014,7.964338,122.2736,5.6468777,26.167721,65.571195,317.28762,80.2996,51.370735,NA,170.9466,1607.77414,51.605894,61.505865,49.863763,62.0534,11.982324,23.048144
18-45,24.05790101,0,25.0905,1.4874,3.737521,8.12821,43.68877,15.71386,6.339497,5.06841,540.52755,5.547435,2.6288256,15.30465,0.882459,100.14,263.2668,104.3678,0,0.362145,14.302058,13.09971783,0.930449,16.24512456,1.544871,108.3143,4.85302,4.405251,101.86674,514.19113,134.814,51.93837,NA,423.3716,1294.853071,56.4466,50.25083674,54.49143,71.66985,9.87839,31.0643
18-48,11.08714894,0,40.07994,1.32064391,1.302768,3.461878,38.76532319,51.241542,1.5745882,12.4124,514.82632,2.31761699,2.862227903,15.3637959,0.669778,68.6118,55.058344,1308.491278,1.55E-09,2.6446268,0.309966,7.750404213,0.409157,10.83878622,1.495805,36.54705,1.2874198,7.609272,41.56894315,817.40334,34.2998,55.02592,NA,26.17312,1787.776334,37.603561,40.072788,31.0359,71.524629,6.363033,14.923629
18-49,31.6262359,0.0749558,65.929598,1.3877946,1.68158,2.253926,1.6702724,12.7239691,2.747334,10.2071,287.524779,0.4237107,6.6300111,11.735293,0.8020418,204.222,148.667511,488.164756,1.884807,2.061777,0.0331561,11.341478,25.4544,14.7043453,2.443289,55.723133,28.7924934,2.124312,73.581959,156.369046,313.854565,35.38237,NA,92.80183,1118.531293,47.763747,47.491424,33.718802,56.045065,9.727821,23.570181
18-50,28.09903452,0.0565978,8.235244,3.2544211,0.727535,5.247635,7.2114712,20.257597,2.2523318,3.71939,196.9934437,0.505988394,2.9016863,18.865797,0.38552928,207.575,294.375569,1754.511878,17.0572,0.4633108,22.44447,7.632955004,5.61695,9.767340099,1.270942,58.253712,28.5405687,3.061085,57.014815,350.044446,453.651244,32.673954,NA,296.50561,1610.66625,43.576683,43.815651,27.689503,54.8062082,7.076992,14.801714
