,ARID1B,CCL21,CCND2,CD3E,CDC20,CDK6,CDKN2A,CDKN2C,CHEK1,CKS2,COL1A1,ESR1,EZH2,FBLIM1,FGFR4,GAS1,IFNGR1,IGF2,KDR,KIF20A,KRT14,MDM4,MMP9,MUTYH,MYBL1,PGK1,PGR,PIM1,SPOP,TAGLN,TMEM30B,USF1,LINC02593,CCN1,ACTB,CASC3,GUSB,MRPL19,POP4,TTC21B,KIAA1715
M174,14.47384376,0.762130796,22.61665999,1.980896922,3.850293757,0.738508471,0.371822648,35.11038727,3.620295603,38.23832751,62.28282824,1.350798409,7.519510748,10.87927167,6.458147065,212.0918076,572.8520113,10155.42367,434.2297137,3.405904377,0.396936162,6.963859375,1.162540414,5.172896977,4.94737538,222.0844918,31.21747904,6.657188184,34.40626339,36.7784048,37.53140465,65.63198973,,24.30002045,2217.306262,42.95264046,53.04751078,13.73127461,14.35412027,7.393619111,15.30744968
M175,17.56462368,0.922218187,62.42271603,11.72812496,1.493287546,3.038355385,1.209173119,8.365002581,2.338873573,9.730680644,109.0003854,0.544845612,2.772772772,31.82708721,0.579800045,837.1013958,377.1302052,160.6701816,28.57093533,0.953440329,0.160104517,9.012739152,1.205772686,10.5881689,2.354274361,186.7468838,39.57659478,6.624357983,51.40253372,478.6022801,1467.028637,60.86640036,,183.0702649,2677.672969,53.32965172,41.44160225,19.81696756,12.9436002,10.85227409,19.15002949
M176,15.57521109,0.434784006,59.48643455,11.33602984,2.119092019,6.676558806,5.080916632,50.7018691,2.588217875,15.56498372,1680.761391,1.444367208,2.354294821,16.84566761,0.790336303,264.4992431,747.14968,1960.337929,10.25371983,2.004642075,0,11.27705218,0.82901449,11.9216907,1.720396889,278.8256585,3.970720542,21.99653637,54.18458198,201.5625132,23.20497964,75.71327942,,472.638197,2415.778917,50.02864658,52.95989404,18.27085053,17.95120915,9.313364118,12.38648253
M178,12.13314324,0,71.61355452,1.164742131,0.985079436,3.438778932,3.454968719,40.72059501,3.122512547,19.97766808,176.3671214,0.994294905,2.242003328,2.809606972,0.415736569,241.2021881,1192.022326,368.5610261,12.65369869,0.913002881,0.26404102,9.738863279,1.629494037,5.289894212,0.915189009,274.2411305,40.19354318,9.070242167,64.88486644,256.3433965,193.6196876,81.04277196,,60.30953236,1299.293001,84.67758273,23.98851032,23.86769755,18.81163074,11.78508108,13.07289611
M179,9.364225147,0.231807343,28.71528443,1.694541021,14.50354168,2.524506757,1.360643241,10.78050859,2.465895681,33.01950015,1313.59605,0.29859929,4.428740293,30.95217872,0.133064807,45.42161162,172.160095,274.2138282,27.82176991,10.76902654,390.302794,5.292485097,1.016584741,9.588960703,0.665737625,244.6077318,14.48883176,43.56467449,40.85724324,365.8509306,256.2998032,63.4959609,,160.8387933,3827.593453,45.99377423,47.94056906,16.08403387,15.59018982,6.350684753,9.861849785
M18,15.50048914,0.419236414,68.0354449,1.668543238,7.507993442,25.2298936,1.879155319,50.49410732,3.987156928,46.9209668,963.6427568,1.151123713,5.075616088,14.68260863,1.042838642,645.3614429,681.257705,3090.392752,25.2050237,4.697820472,0.679306351,8.938327525,0.639495578,7.358033423,2.113729885,346.2941554,5.029530595,39.75239953,54.23545835,148.8133006,411.5691041,50.37028601,,859.1270946,2761.64906,59.60891266,47.30587241,26.3525759,13.4349519,8.119549289,17.52782315
M180,9.983506897,1.025394255,62.42956111,5.024936615,1.278472425,8.211099592,1.933302821,51.54228591,2.058762756,17.77461559,690.543767,1.141258013,1.379361622,12.7239338,0.752111504,153.9168645,248.4437352,401.8031717,10.16744181,0.51865571,0.103843083,7.95435062,1.498946121,12.36139137,0.588974902,123.645694,5.873983372,2.572613265,50.82596455,299.1515095,161.1953712,67.70016325,,917.3293955,2039.817484,41.9775193,55.63662852,14.29467788,14.02796741,8.871741566,9.927844246
M181,10.11862975,0.231202376,44.3261182,1.276978523,2.410948425,1.454990873,11.02945887,10.30167548,1.889386661,26.311811,581.0071202,0.266470535,5.527383115,46.02398032,0.729946453,28.33803439,202.9951464,40.1560738,15.35931425,1.700196147,7.164739648,10.15950454,1.880916728,32.59935755,0.929600269,165.1842986,5.062017221,7.75013352,39.2772974,117.0689128,241.3681442,108.918885,,196.6188325,1872.617394,67.88978729,56.9129668,18.89759076,17.2393129,5.965683802,8.149921766
M182,8.828964907,0,120.2788947,1.168793184,1.268582199,0.69288653,0.938490438,33.92283074,1.957078065,15.51463317,505.8799726,0.406492016,2.143993688,21.00828919,1.013405894,280.6620963,527.036623,3238.941781,8.836629213,0.979801865,5.869586111,4.319799298,0.876474294,6.472166092,0.778065251,226.7527846,10.92742716,6.296250012,29.87127607,176.2538331,315.2306583,49.0132621,,200.0145539,2958.679332,32.99733985,45.63534247,11.17809312,12.35997903,5.61014526,13.82691818
M183,14.1520595,0.652912952,10.28385793,0.939423277,0.71890906,6.277550336,3.344651795,23.1435799,1.603310488,12.51292228,177.34576,0.556477867,2.229895539,13.24931499,0.178472789,118.6828072,245.8822942,2466.399904,21.76988493,0.587918585,6.007600629,8.455602327,0.379406288,11.61914469,3.131168122,234.9661895,5.192107566,8.424485155,47.38797176,278.4879598,0.289145078,76.22311513,,461.6049358,3053.46212,50.25178305,38.01876791,16.95218023,12.55928814,6.036803011,11.32813276
