"","ARID1B","CCL21","CCND2","CD3E","CDC20","CDK6","CDKN2A","CDKN2C","CHEK1","CKS2","COL1A1","ESR1","EZH2","FBLIM1","FGFR4","GAS1","IFNGR1","IGF2","KDR","KIF20A","KRT14","MDM4","MMP9","MUTYH","MYBL1","PGK1","PGR","PIM1","SPOP","TAGLN","TMEM30B","USF1","LINC02593","CCN1","ACTB","CASC3","GUSB","MRPL19","POP4","TTC21B","KIAA1715"
"RP-1390_PDO-25321_SM-LLY7L_2_3702673E7_v1_RNA_OnPrem.1",11.532908,0.57851,24.262403,1.818795,1.105875,3.39427,1.833408,50.072994,0.980915,8.474177,1684.395641,0.694497,1.597363,15.976643,0.232039,33.866058,123.683841,891.394777,9.674756,0.843142,1.250291,2.934772,3.489461,15.293125,0.204171,73.984726,1.947467,3.431139,58.376891,505.445949,217.942296,55.014203,11.081119,48.279499,118.422887,32.226791,49.320042,17.460972,50.643607,0.359312,8.835751
"RP-1390_PDO-25321_SM-LLY7M_9127556_0_v1_RNA_OnPrem.1",9.35029,0.907835,3.234986,16.958987,2.175858,1.612147,10.614405,23.879577,1.201563,16.117574,725.219554,0.752985,2.012382,9.174082,0.357357,95.221634,101.212878,4179.525194,16.05218,2.683392,0.862969,7.564479,4.988457,14.428471,0.50481,20.3598,0.924316,6.94258,33.373736,296.82634,38.447424,65.885767,5.914635,19.613003,180.697682,25.785515,35.422444,8.525728,43.099886,3.227675,3.932599
"RP-1390_PDO-25321_SM-LLY7N_5757554_0_v1_RNA_OnPrem.1",12.935351,0.052421,0.058979,2.224883,1.862469,0.2634,0.281976,58.487829,4.243416,66.736582,2527.736644,0.631223,6.971983,10.14349,0.333158,184.654165,215.459099,2040.611464,1.092084,3.008233,2.616135,6.466724,0.69281,3.810077,3.317608,159.877195,2.93982,11.758789,40.464338,579.312642,321.626983,52.616985,1.942123,177.316584,2277.556787,30.044534,38.546385,25.344106,44.697656,4.84951,14.987688
"RP-1390_PDO-25321_SM-LLY7O_5757554_0_v1_RNA_OnPrem.1",8.741751,0.040443,0.808415,8.755646,6.552015,0.25072,0.506711,70.204709,6.055257,76.564747,2723.212843,0.66841,10.079284,9.811857,3.328474,64.917694,100.439683,2067.079503,5.702493,10.791585,63.800463,5.065123,1.134114,6.566138,4.131296,133.615218,2.020438,3.481926,44.387698,176.017655,241.258342,56.836863,2.546806,12.905333,522.550477,30.855604,44.782773,29.337526,29.781115,1.756638,13.513551
"RP-1390_PDO-25321_SM-LLY7P_2_0199675E7_v1_RNA_OnPrem.1",3.032945,0,0.417837,2.854839,5.14317,0.613064,11.645712,58.802044,1.875144,47.744979,21.045957,0.202489,3.549949,3.652681,0.993933,37.078136,90.107388,2410.251135,0.195411,6.509726,0.849403,3.579851,0.107761,4.160323,2.402135,58.920837,0.550303,2.407068,29.3252,74.832272,42.987418,39.059791,1.851905,2.722066,178.944269,24.437857,21.229849,27.638374,77.110311,2.769585,6.278747
"RP-1390_PDO-25321_SM-LLY7R_1_4050272E7_v1_RNA_OnPrem.1",13.293787,0.353516,0,2.145619,1.40062,3.086878,2.092138,27.711757,1.877474,18.757029,41.145551,0.813687,3.137228,9.468996,0.194769,60.866598,180.332536,2333.530475,0.91338,1.537804,0.293618,9.65708,1.687959,11.027121,5.781598,122.977946,2.173379,5.952277,44.681012,221.894241,54.196054,42.818546,9.190837,75.038008,1656.245397,33.655308,31.707077,18.207457,40.809453,2.758756,9.800981
"RP-1390_PDO-25321_SM-LLY7S_4_1382292E7_v1_RNA_OnPrem.1",7.646247,0.30989,3.653787,13.079134,0.842467,1.897593,7.01545,9.717464,0.684828,13.794041,37.472591,0.610102,1.210307,5.062595,0.538056,77.752242,176.563863,1436.333748,5.286832,0.248793,0.036194,7.29343,0.071461,16.564871,1.074015,29.318845,2.898616,6.199827,30.347904,395.875993,28.649773,74.908005,7.190166,2.938,1723.017053,33.618822,41.559413,11.307106,32.147727,4.461189,3.746351
"RP-1390_PDO-25321_SM-LLY7T_3_3073867E7_v1_RNA_OnPrem.1",7.167985,0,0.076114,3.883732,2.009345,2.426724,10.098878,25.16789,2.068659,26.136105,50.116247,1.021223,1.805886,3.863626,0.807821,20.161089,281.447542,231.633526,1.060171,1.302445,0.640397,3.930455,1.274374,11.609155,1.205495,73.88315,1.112944,12.227942,28.230731,907.999036,56.431607,38.753276,4.164892,9.673259,887.755176,31.171867,33.94976,16.237522,51.665113,2.515628,4.993935
"RP-1390_PDO-25321_SM-LLY7U_3_837916E7_v1_RNA_OnPrem.1",7.357966,0.275958,8.560031,3.560347,0.535052,3.900612,9.083811,53.639402,1.846739,25.277458,1002.618488,0.776192,1.331583,6.199139,0.293051,21.595941,210.639438,56.004476,2.886554,1.191289,6.366346,3.028481,3.231022,5.411666,0.788295,72.57458,2.351909,19.67206,65.963316,278.431457,78.554044,51.672785,4.186013,61.8234,373.181966,67.643517,24.214939,32.628903,78.288297,3.615296,10.704144
"RP-1390_PDO-25321_SM-LLY7V_3_9764188E7_v1_RNA_OnPrem.1",15.837057,0,6.529589,0.211712,0.241371,1.029929,13.764814,9.518159,0.419699,21.073208,77.571155,0.973314,1.652524,18.869216,1.066748,82.086323,101.857551,2961.236548,5.607869,0.038264,0.058978,5.692264,0.172983,12.317209,4.81305,75.224526,0.266598,19.606895,46.176783,78.720598,1.227913,48.20273,0.40001,274.632578,1498.693683,55.250405,24.805274,18.880267,38.115459,5.905181,8.814046
"RP-1390_PDO-25321_SM-LLY7W_2_0199675E7_v1_RNA_OnPrem.1",1.101746,0,6.170649,0.212356,0.313695,0.671461,6.59583,25.938716,0.57851,13.223986,7.259653,0.06243,1.199307,3.70206,0.30627,26.022998,27.93279,1074.207596,0.121786,0.202775,0.35627,2.719775,0.441238,7.144539,0.566866,16.178376,0.784201,2.705006,12.63186,375.774593,20.320019,13.728928,0.422889,1.758962,360.752477,12.281493,6.941146,4.300732,24.12935,1.349649,3.010626
"RP-1390_PDO-25321_SM-LLY7X_6312326_0_v1_RNA_OnPrem.1",6.271839,0,2.074707,2.556075,1.787017,2.875568,7.896655,32.968536,2.555525,27.31219,408.764296,0.516946,2.37338,12.445341,1.652841,51.668579,215.798576,381.189989,1.562286,2.294457,0.018044,4.769924,0.059075,7.610461,3.170614,84.22161,3.283706,9.045513,35.981759,508.759624,4.979973,49.236847,7.130568,26.328991,622.153767,30.209333,34.793452,17.438078,60.258265,2.483975,11.183523
