,ARID1B,CCL21,CCND2,CD3E,CDC20,CDK6,CDKN2A,CDKN2C,CHEK1,CKS2,COL1A1,ESR1,EZH2,FBLIM1,FGFR4,GAS1,IFNGR1,IGF2,KDR,KIF20A,KRT14,MDM4,MMP9,MUTYH,MYBL1,PGK1,PGR,PIM1,SPOP,TAGLN,TMEM30B,USF1,LINC02593,CCN1,ACTB,CASC3,GUSB,MRPL19,POP4,TTC21B,KIAA1715
sahm_221944,20.29,0.95,7.4,0,11.26,6.3,0,4.65,75.86,15.08,590.83,0.23,24.8,2.25,10.82,0.09,25.21,23.19,4.03,21.62,0.39,182.83,10.29,8.6,5.4,201.91,0.66,45.72,86.88,299.38,0,23.27,0,9.92,1753.89,83.79,66.03,86.22,2.88,47.48,21.11
sahm_221946,15.53,0.08,21.04,2.33,3.15,11.22,0.47,10.52,16.8,11.77,263.08,0.71,18.08,5.15,1.32,18.82,77.18,228.77,3.57,10.83,1553.86,98.6,0.08,6.13,4.03,465.24,0.31,10.09,33.52,248.81,7.37,18.92,0,10.03,2653.73,52.35,28.22,31.42,8.59,27.82,28.38
sahm_221948,7.24,0.07,0.07,0,8.05,2.62,0.06,1.05,20.77,9.56,815.68,0.15,10.67,3.69,1.99,1.04,35.32,381.13,1.16,14.16,2.49,77.46,0.03,6.49,3.59,72.4,0.32,3.88,37.76,46.07,1,5.13,0,1.1,737.88,35.78,18.16,21.8,6.89,14.86,33.42
sahm_221962,17.15,0,1.02,2.81,8.3,1.31,0,12.37,40.86,13.05,1713.73,0.03,12.15,2.57,0,19.41,228.94,4.02,12.26,12.66,1.23,139.32,0.61,20.35,4.57,184.41,14,5.64,88.95,1369.77,3.96,19.8,0.03,31.47,2871.95,77.32,22.46,47.02,21.26,21.33,34.48
sahm_222590,12.72,0.12,11.75,0.55,3.15,4.45,0.5,12.15,7.6,4.26,94.16,1.38,8.03,0.66,1.15,6.83,81.31,30.81,5.69,3.56,17.59,64.97,0.15,16,8.69,244.26,6.66,4.16,47.81,319.92,5.78,13.22,0.02,13.69,2380.55,56.56,31.28,21.12,9.43,26.09,13.78
sahm_240308,22.3,0,39.59,1.36,0.71,2.37,7.09,16.92,0.88,3.1,482.16,0,4.29,10.74,0.46,5.01,405.83,58.48,6.03,0.4,6.42,98.17,0.33,19.17,5.47,195.12,83.49,1.18,57.74,181.93,28.3,21.54,0,53.43,2186.72,33.38,31.02,47.9,18.76,56.96,33.9
sahm_240310,10.12,0.02,6.64,3.04,1.39,6.55,22.66,14.9,9.73,14.38,196.7,1.11,12.92,1.17,0.27,9.49,140.19,745,3.37,3.79,1.84,98.73,0.57,8.04,7.09,502.64,5.29,2.87,94.66,90.57,8.75,16.98,0,27.81,1684.58,49.92,23.43,33.69,16.63,30.06,39.98
sahm_240312,7.52,0,8.78,8.21,0.28,6.58,1.16,9.97,7.68,25.44,160.52,1.08,20.51,24.46,0,7.29,79.95,13.9,3.58,0.84,0,72.26,2.61,2.82,0.13,150.98,2.2,8.33,11.7,66.13,6.4,2.87,0,23.73,577.85,45.77,12.53,40.97,6.24,32.66,33.27
sahm_240828,10.59,0,2.07,4.23,0.83,3.45,0,4.14,3.49,5.83,231.16,0.52,15.38,7.77,0.17,5.07,134.26,4.73,8.06,2.86,0,95.64,5.82,12.3,1.69,140.22,20.56,3.13,38.91,103.09,10.7,8.03,0,54.62,640.68,28.28,23.95,20.21,5.79,54.68,24.11
sahm_240830,26.14,0.18,20.35,0.53,0.11,10.09,0.88,7.64,4.04,2.45,340.16,2.67,4.59,1.76,0,5.14,294.52,11.35,2.49,0.93,0,116.94,0.16,17.23,1.36,137.08,24.22,1.98,78.1,129.91,13.24,16.33,0,126.38,1510.96,38.88,22.36,25.72,6.65,51.03,42.64
