,ARID1B,CCL21,CCND2,CD3E,CDC20,CDK6,CDKN2A,CDKN2C,CHEK1,CKS2,COL1A1,ESR1,EZH2,FBLIM1,FGFR4,GAS1,IFNGR1,IGF2,KDR,KIF20A,KRT14,MDM4,MMP9,MUTYH,MYBL1,PGK1,PGR,PIM1,SPOP,TAGLN,TMEM30B,USF1,LINC02593,CCN1,ACTB,CASC3,GUSB,MRPL19,POP4,TTC21B,KIAA1715
caris_57,14.0407,0.182741,6.02358,1.29669,1.08769,25.7839,2.16312,2.6273,7.11546,7.41045,1054.1,2.37473,18.6918,3.91596,0.476634,1.98847,96.8789,79.8428,4.84296,10.4167,0.594022,86.8795,3.45093,13.7778,7.90741,92.3778,9.20065,8.79507,38.2744,34.9587,1.50944,7.46173,,5.4726,934.422,32.2721,19.4173,16.4464,9.02441,25.3544,
caris_58,18.0133,0.551638,0.895703,0.297504,2.15147,2.0228,4.06701,0.463826,3.89996,19.0784,343.666,1.44102,18.4586,0.909118,0.799262,25.8076,152.609,413.964,14.1119,9.07421,0.401651,69.9124,0.967547,6.37427,16.1668,76.8762,10.5473,5.42069,46.4627,43.6992,11.6542,14.5483,,5.13854,976.677,24.2682,25.2387,17.5676,6.05301,20.9306,
caris_59,30.8563,0.85141,19.5147,0.285045,0.449011,16.8663,16.2438,6.92465,0.979241,12.7704,954.949,0.442671,13.6501,8.28478,0.570103,55.9253,356.11,1096.73,23.62,4.15479,5.28902,91.3362,0.793102,10.6606,8.42362,86.523,67.9217,5.07126,81.3124,74.0846,8.06124,24.571,,47.7146,1173.26,20.78,23.7305,18.7081,8.8327,32.0692,
caris_60,30.083,0.637691,17.2977,0.356018,0.87416,18.2935,6.90091,2.52152,1.34377,4.84497,349.635,1.1781,4.9829,1.44423,0.872133,1.37618,342.875,93.2089,3.12469,0.466484,0.814673,55.1395,3.0741,13.2605,10.155,27.3414,1.49575,1.51793,83.9556,68.7671,92.5697,26.0236,,201.091,822.608,28.1535,22.2286,17.0483,6.66275,39.8544,
caris_61,31.1124,1.76101,1.86382,0.797501,0.556697,11.6457,9.8356,1.2006,1.23638,0.582967,129.617,1.84433,5.42422,3.18753,0.3047,8.68533,197.848,135.56,10.4235,0.807472,70.9827,68.6073,0.699074,8.13656,1.2883,21.7948,0.709391,0.206462,37.3651,24.205,105.98,15.985,,20.7807,705.782,17.7035,17.3838,7.63184,3.30917,29.2948,
caris_62,9.34149,0.689929,1.86112,0.12582,0.601334,8.93738,6.05702,5.81559,10.4482,5.011,130.647,0.891118,3.28085,1.73926,2.43651,4.19412,112.809,832.278,8.6597,0.642526,3.61173,26.9343,1.27931,2.64217,2.23106,84.1064,8.08536,0.686085,34.1626,44.5791,43.4464,11.2845,,8.12676,512.779,18.1898,11.0601,17.6142,7.2214,10.8717,
caris_63,129.279,0.217128,63.3807,1.17696,0.935751,211.174,35.6694,2.63184,10.1922,39.8798,1674.83,0.37327,50.2384,51.9091,1.32698,9.94469,87.8617,334.27,10.1973,20.1111,29.3844,175.931,0.796393,29.9322,3.37662,37.0795,24.4805,36.4749,86.6391,58.4921,0.242119,71.7671,,32.5463,1895.7,54.2232,37.2047,32.6141,6.92638,55.3314,
caris_64,24.9948,0.196994,39.0168,0.752573,0.626415,26.9239,0.217993,2.11767,6.48435,36.162,2104.69,0.479307,20.5756,3.16575,1.19713,10.7681,118.97,1680.8,6.39272,12.6209,1.72849,72.5983,0.598814,10.953,6.30248,119.962,6.39318,14.5473,76.9134,51.4361,12.7475,28.893,,7.71178,1106.54,24.9368,31.645,15.4937,5.25408,33.2391,
caris_65,15.4497,0.109239,18.5864,3.59584,0.17079,13.2974,6.95689,9.97474,3.35613,16.4966,374.739,2.21902,11.0215,3.78839,1.34248,30.3908,207.918,146.585,7.29058,5.82461,0.399823,101.577,4.49912,9.86448,8.61076,75.2887,1.57609,7.93597,48.5582,142.467,23.1083,16.8679,,19.8621,920.273,30.0739,20.9684,36.6378,8.76357,21.4633,
caris_66,18.2889,0.191295,25.2578,1.86738,0.945422,14.1713,6.65758,11.6129,6.07958,1.55894,68.0519,1.78313,4.59567,0.978781,1.01085,6.96446,201.186,302.164,6.44032,1.32123,0.103699,62.2276,0.504134,13.0185,3.58233,36.7445,0.454617,1.67888,50.0174,141.936,34.7486,12.0822,,12.2421,776.748,23.0547,13.4232,14.2031,3.75069,24.2228,
caris_67,35.8046,0.290775,94.6903,1.41638,0.130321,78.3559,11.4635,18.0071,1.72829,30.5064,683.603,5.42442,13.3667,6.21259,1.74042,30.3752,280.303,1104.38,16.5589,3.18412,1.64732,168.232,3.10289,17.2313,9.5114,127.734,24.1232,4.43546,97.7894,250.019,76.9058,37.7762,,49.8157,1793.66,44.694,40.8574,44.0944,13.3514,47.2422,
caris_68,24.2502,0.154878,3.96383,0.761996,0.172976,35.6689,61.0289,0.939319,4.85861,9.6248,113.536,2.3646,5.29706,2.55671,0.867463,3.31742,208.454,2178.1,19.5631,1.24657,0.569959,317.549,2.3976,10.5261,3.93363,105.582,4.45609,7.4043,92.612,185.593,19.7899,70.5756,,18.3689,663.894,66.4211,22.575,42.5231,10.934,63.9053,
caris_69,38.6932,0.129855,17.4473,0.101801,0.509914,22.5827,4.39061,7.01607,8.49792,6.60753,1119.66,2.65352,10.014,8.99507,1.79242,52.0286,367.036,687.755,44.7508,2.25247,0.651683,137.888,0.409829,16.4886,5.66381,116.229,10.1827,11.9648,101.945,390.204,61.4731,33.2133,,117.697,1774.09,60.5133,30.2898,30.8831,14.2758,54.936,
